Song Name,Song Link,Language,comments
hookah bar,https://www.youtube.com/watch?v=2YRdjcpjNgU&ab_channel=BollywoodSongsLover,,
hips dont lie,https://www.youtube.com/watch?v=p3pEe6aAJ4k&ab_channel=7cloudsRock,,
chogada,https://www.youtube.com/watch?v=asYxxtiWUyw&ab_channel=T-Series,,
cheap thrills,https://www.youtube.com/watch?v=mY9fNwGE7YA&ab_channel=7clouds,,
jalebi baby,https://www.youtube.com/watch?v=uGqbJwo3EhQ&ab_channel=Tesher-Topic,,
uff teri ada,https://www.youtube.com/watch?v=-rSOvmWRG4Y&ab_channel=AlyssaMendonsa-Topic,,
despacito,https://www.youtube.com/watch?v=kJQP7kiw5Fk&list=PL64E6BD94546734D8&index=2,,
pepas,https://www.youtube.com/watch?v=J5chwrG8Vvc&ab_channel=Albyko,,
hummal,https://www.youtube.com/watch?v=51Oz0l-qR3M&ab_channel=A.R.Rahman-Topic,,
macarena,https://www.youtube.com/watch?v=cotpBlAjUpc&ab_channel=PortalMusic,,
saturday saturday,https://www.youtube.com/watch?v=GHCXVJe2re4&ab_channel=Badshah-Topic,,
aank mare,https://www.youtube.com/watch?v=O1JRZxHM_qk&ab_channel=NehaKakkar-Topic,,
muqabla,https://www.youtube.com/watch?v=2HNjMpxrK_k&ab_channel=ParamparaThakur-Topic,,
1234  get on dance floor,https://www.youtube.com/watch?v=G9SOAHXDk64&ab_channel=VishalDadlani-Topic,,
chinta ta ,https://www.youtube.com/watch?v=rWSZd2EEecs&ab_channel=Sajid%E2%80%93Wajid-Topic,,
dhinka chika,https://www.youtube.com/watch?v=UyB-JRZYWBI&ab_channel=AmritaKak-Topic,,
tatad tatad,https://www.youtube.com/watch?v=10yGEE_vx1E&ab_channel=AdityaNarayan-Topic,,
dhating naach,https://www.youtube.com/watch?v=7GB2y1mSLMM&ab_channel=TrendingShowCreation,,
thumka london,https://www.youtube.com/watch?v=RLBc3c6_C_4&ab_channel=desimix,,
sauda khara khara,https://www.youtube.com/watch?v=b0dPlXjsim8&ab_channel=FILMYKAHANI,,
avicii nights,https://www.youtube.com/watch?v=xkTK3DH5aJ8&ab_channel=Mervin%27sLyrics,,
3 Peg,https://youtu.be/QdvLj9Wr8Q0?si=5SfkBWv2ohEF8ZuD,,
Tiger Dance,https://youtu.be/sosXqkEoJlY?si=xz4v4Npvk7YjDIpS,,
Ranu Ranu Antune,https://youtu.be/y3jqxlMxMsI?si=X3iYNMKIT53TRAAs,,
saree ke falll sa,https://www.youtube.com/watch?v=EkxOXF9J77w&ab_channel=ErosNowMusic,,
tune mari entriza,https://www.youtube.com/watch?v=-8SlOkUAW-4&ab_channel=YRF,,
